Date, Close, Open, High, Low, ZigZag Value, ZigZag Length, ZigZag Pips, ZigZag Deg, Volumes
2015.05.12 05:45, 1.12734, 1.12708, 1.12788, 1.12694, 1.12788, 215.00000, 148, 34.51, 336.00000
2015.05.12 16:30, 1.12086, 1.12056, 1.12086, 1.12055, 1.12055, 129.00000, -73, 29.61, 65.00000
2015.05.13 02:35, 1.12591, 1.12647, 1.12659, 1.12543, 1.12659, 121.00000, 60, 26.53, 314.00000
2015.05.13 05:00, 1.12091, 1.12267, 1.12331, 1.12027, 1.12027, 29.00000, -63, 65.35, 492.00000
2015.05.14 06:55, 1.14338, 1.14379, 1.14445, 1.14338, 1.14445, 311.00000, 242, 37.86, 365.00000
2015.05.14 11:25, 1.13471, 1.13575, 1.13606, 1.13437, 1.13437, 54.00000, -101, 61.82, 419.00000
2015.05.14 22:05, 1.14112, 1.14154, 1.14182, 1.14111, 1.14182, 128.00000, 75, 30.20, 199.00000
2015.05.15 02:25, 1.13755, 1.13857, 1.13937, 1.13712, 1.13712, 52.00000, -47, 42.11, 471.00000
2015.05.15 03:00, 1.14119, 1.14145, 1.14209, 1.14097, 1.14209, 7.00000, 50, 81.98, 476.00000
2015.05.15 08:00, 1.13305, 1.13335, 1.13345, 1.13241, 1.13241, 60.00000, -97, 58.21, 368.00000
2015.05.15 14:45, 1.14640, 1.14465, 1.14667, 1.14465, 1.14667, 81.00000, 143, 60.40, 477.00000
2015.05.20 02:50, 1.10710, 1.10752, 1.10758, 1.10626, 1.10626, 721.00000, -404, 29.27, 425.00000
2015.05.21 02:30, 1.10846, 1.10946, 1.10948, 1.10799, 1.10799, 284.00000, 17, 3.49, 510.00000
2015.05.21 06:15, 1.11804, 1.11672, 1.11814, 1.11625, 1.11814, 45.00000, 101, 66.09, 398.00000
2015.05.21 17:50, 1.11036, 1.11054, 1.11069, 1.11009, 1.11009, 139.00000, -80, 30.08, 243.00000
2015.05.22 06:05, 1.12033, 1.11937, 1.12082, 1.11937, 1.12082, 147.00000, 107, 36.13, 300.00000
2015.05.26 15:15, 1.08688, 1.08634, 1.08688, 1.08632, 1.08632, 686.00000, -345, 26.70, 92.00000
2015.05.27 02:45, 1.09280, 1.09172, 1.09291, 1.09147, 1.09291, 138.00000, 66, 25.53, 264.00000
2015.05.27 09:10, 1.08247, 1.08213, 1.08258, 1.08192, 1.08192, 77.00000, -110, 54.98, 222.00000
2015.05.28 04:55, 1.09408, 1.09462, 1.09509, 1.09340, 1.09509, 237.00000, 132, 29.06, 435.00000
2015.05.28 10:00, 1.08919, 1.08829, 1.08964, 1.08670, 1.08670, 61.00000, -84, 53.98, 813.00000
2015.05.28 18:40, 1.09727, 1.09663, 1.09744, 1.09661, 1.09744, 104.00000, 107, 45.92, 144.00000
2015.05.29 03:00, 1.09354, 1.09287, 1.09365, 1.09257, 1.09257, 100.00000, -49, 25.97, 408.00000
2015.05.29 10:00, 1.09971, 1.09943, 1.10059, 1.09840, 1.10059, 84.00000, 80, 43.67, 781.00000
2015.06.01 05:00, 1.08976, 1.08979, 1.08997, 1.08913, 1.08913, 228.00000, -115, 26.69, 293.00000
2015.06.01 09:30, 1.09713, 1.09693, 1.09789, 1.09667, 1.09789, 54.00000, 88, 58.35, 367.00000
2015.06.01 11:00, 1.08917, 1.08963, 1.08984, 1.08872, 1.08872, 18.00000, -92, 78.89, 306.00000
2015.06.02 09:15, 1.11242, 1.11314, 1.11942, 1.11159, 1.11942, 267.00000, 307, 48.99, 1989.00000
2015.06.03 02:40, 1.11817, 1.11872, 1.11896, 1.11815, 1.11896, 209.00000, -5, 1.26, 277.00000
2015.06.03 08:50, 1.11098, 1.11141, 1.11146, 1.10793, 1.10793, 74.00000, -110, 56.14, 1020.00000
2015.06.03 12:00, 1.12825, 1.12831, 1.12853, 1.12766, 1.12853, 38.00000, 206, 79.55, 286.00000
2015.06.04 03:10, 1.12372, 1.12346, 1.12398, 1.12302, 1.12302, 182.00000, -55, 16.84, 319.00000
2015.06.04 04:40, 1.13659, 1.13550, 1.13797, 1.13537, 1.13797, 18.00000, 150, 83.13, 680.00000
2015.06.04 19:05, 1.11850, 1.11888, 1.11904, 1.11798, 1.11798, 173.00000, -200, 49.13, 326.00000
2015.06.05 03:55, 1.12747, 1.12770, 1.12800, 1.12732, 1.12800, 106.00000, 100, 43.39, 412.00000
2015.06.05 09:30, 1.10646, 1.10611, 1.10668, 1.10492, 1.10492, 67.00000, -231, 73.81, 616.00000
2015.06.07 20:55, 1.10846, 1.10923, 1.10930, 1.10841, 1.10841, 137.00000, 35, 14.29, 184.00000
2015.06.09 01:55, 1.13390, 1.13186, 1.13451, 1.13184, 1.13451, 348.00000, 261, 36.87, 429.00000
2015.06.09 08:45, 1.12162, 1.12180, 1.12213, 1.12140, 1.12140, 82.00000, -131, 57.97, 369.00000
2015.06.10 04:05, 1.13675, 1.13677, 1.13863, 1.13671, 1.13863, 232.00000, 172, 36.60, 560.00000
